Mercado,Endereço,Latitude,Longitude
Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),"São Sebastião, DF",-15.9033774,-47.7717736
Associação Agrícola do Distrito Federal e Ride (Agrifam),"Taguatinga, DF",-15.8335277,-48.0565716
Associação Agrícola do Distrito Federal e Ride (Agrifam),"Gama, DF",-16.0170857,-48.0653054
Associação Agrícola do Distrito Federal e Ride (Agrifam),"Santa Maria, DF",-16.0171229,-48.0131328
"Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista)","Santa Maria, DF",-16.0171229,-48.0131328
Associação dos Produtores da Agricultura Familiar (Aspaf),"Guará, DF",-15.8235629,-47.9768165
Associação dos Produtores da Agricultura Familiar (Aspaf),"Núcleo Bandeirante, DF",-15.8711851,-47.9679941
Associação dos Produtores da Agricultura Familiar (Aspaf),"Plano Piloto, DF",-15.7183687,-47.9950273
Associação dos Produtores Rurais de Alexandre Gusmão (AsSpag),"Brazlândia, DF",-15.6808898,-48.1942621
Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),"Gama, DF",-16.0170857,-48.0653054
Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),"Santa Maria, DF",-16.0171229,-48.0131328
Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),"Plano Piloto, DF",-15.7183687,-47.9950273
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),"Ceilândia, DF",-15.8173391,-48.1045766
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),"Recanto das Emas, DF",-15.9025481,-48.0607778
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),"Samambaia, DF",-15.8769989,-48.0881004
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),"Paranoá, DF",-15.77544,-47.7797631
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),"Planaltina, DF",-15.6181947,-47.6555703
Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),"Ceilândia, DF",-15.8173391,-48.1045766
Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),"Recanto das Emas, DF",-15.9025481,-48.0607778
Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),"Guará, DF",-15.8235629,-47.9768165
Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasfil),"Gama, DF",-16.0170857,-48.0653054
Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasfil),"Recanto das Emas, DF",-15.9025481,-48.0607778
Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasfil),"Samambaia, DF",-15.8769989,-48.0881004
Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasfil),"Núcleo Bandeirante, DF",-15.8711851,-47.9679941
Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasfil),"Planaltina, DF",-15.6181947,-47.6555703
Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasfil),"Brazlândia, DF",-15.6808898,-48.1942621
Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasfil),"Ceilândia, DF",-15.8173391,-48.1045766
Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),"Paranoá, DF",-15.77544,-47.7797631
Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),"Plano Piloto, DF",-15.7183687,-47.9950273
Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),"Paranoá, DF",-15.77544,-47.7797631
Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),"Brazlândia, DF",-15.6808898,-48.1942621
Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),"Taguatinga, DF",-15.8335277,-48.0565716
Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),"Samambaia, DF",-15.8769989,-48.0881004
Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),"Recanto das Emas, DF",-15.9025481,-48.0607778
Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),"Planaltina, DF",-15.6181947,-47.6555703
Cooperativa dos Agricultores Familiares Ecológicos do Cerrado (Rede Terra),"Santa Maria, DF",-16.0171229,-48.0131328
Cooperativa Agrícola da Região de Planaltina (Cootagua),"Ceilândia, DF",-15.8173391,-48.1045766
"Cooperativa de Serviços Ambientais, Agrícolas, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasilia)","Sobradinho, DF",-15.6500533,-47.7848449
"Cooperativa de Serviços Ambientais, Agrícolas, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasilia)","São Sebastião, DF",-15.9033774,-47.7717736
